token_id,owner,balance,allocation
3110,0x672c3d2cf6e85fd757abe557132cdca985a3f2cd,103254.77256982101,19.149463916754364
3131,0x5806594d03437742efdc1b33eea609a04c220b5f,103054.02074806966,19.112232807032527
3199,0xe0647674b89bf40247cc6d7109f3c256949ebc64,102474.10757181988,19.00468304282249
2832,0x88bc11ac7ecc805b024ffe559f44cbe9957c21fd,102166.44222806675,18.947623923403555
3186,0xc40f6f6ade14de9aa40e5a868aa8db4ae2ab5be4,101967.4131493842,18.910712310838242
3002,0x02736c4d67e0b69d3265f040885e3e40758f0230,101780.99277075686,18.87613908748958
3210,0x3a8d048c8f687eb8eb81517d8dc38e2e5542c70d,101669.8463669715,18.855526054350353
3111,0x505f69dbcc43a51d7ef1c2201f54ee116c45b20b,101476.92556468555,18.819747272893373
286,0x3863a9b194f9665e4a3564be141975278992b7b0,100973.60142062663,18.726401587311912
3189,0xc45d05cdc809d20c7b14959e8cd4a1199e3e966f,100614.99689490514,18.65989536919938
3187,0x17561e4a5e16e619e049e3a61a64f2a2564859f8,100491.99030089108,18.637082764271096
1417,0xd29d3d42935519a7f7b6ecdb700c63549bbc2d76,100470.72460211682,18.633138862006756
3209,0xcf1cf25e5cd7aea5f86d8400d600411be1d85d90,100443.32887966088,18.6280580954176
3203,0xc9d026537a257ca48319b5f86d036faede2b4d73,100332.30289880135,18.607467395720363
3195,0xc2fa91efde9fd71b3ac5912f7c7a48d4680847ec,100250.1674073227,18.59223467968013
2684,0xe0a86afb73c0922a50d4a985a25507ecda8a9b51,100154.66041119464,18.57452210591105
3094,0x9c9553cd0c8673651a36e5e11c4989bb629d4067,100152.99157755265,18.574212606710045
